account_name,predict_class,prochoice_strength,prolife_strength,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,account_type,stance
prolifecampaign,1,0.19024676861220505,0.8097532313877951,0.967741935483871,0.03225806451612903,30,1,31,1,-0.4146621783394973
ProLifeDem,1,0.23822177858869165,0.7617782214113084,0.9090909090909092,0.09090909090909093,10,1,11,1,-0.35229546279061874
ProLifeLSU,1,0.367059434557132,0.6329405654428679,0.9333333333333332,0.06666666666666668,14,1,15,1,-0.31242774493004755
ProLifePolitics,1,0.23154218880344304,0.768457811196557,0.76,0.24,19,6,25,1,-0.3706864933670996
prolifepoppop,1,0.2677419687717304,0.7322580312282696,0.8292682926829268,0.17073170731707318,34,7,41,1,-0.5957500947203331
ProLifeYouth,1,0.13860359108549125,0.8613964089145087,1.0,0.0,25,0,25,1,-0.7201735292300906
recallabortion,1,0.2935006408924741,0.7064993591075259,0.9285714285714286,0.07142857142857142,26,2,28,1,-0.4342335538467969
RosaryMovement,1,0.4375231529021446,0.5624768470978554,1.0,0.0,12,0,12,1,-0.4693584024828643
SanDiegoProLife,1,0.18493798321953855,0.8150620167804614,0.9545454545454546,0.045454545454545456,21,1,22,1,-0.6982736956125782
SBAList,1,0.0923018180763665,0.9076981819236336,0.8823529411764706,0.1176470588235294,30,4,34,1,-0.7335584530393789
spucprolife,1,0.13682149933376053,0.8631785006662395,0.8571428571428571,0.14285714285714285,30,5,35,1,-0.5337667359603571
usccbprolife,1,0.2051324561981599,0.7948675438018401,0.9565217391304348,0.043478260869565216,22,1,23,1,-0.499591953250659
abortion_clinic,0,0.8303550060248125,0.1696449939751875,0.0,1.0,0,6,6,0,0.6636883393581459
Abortion_Rights,0,0.8610134372581184,0.13898656274188162,0.0,1.0,0,23,23,0,0.6754369558617013
AbortionCare,0,0.8475325573315944,0.15246744266840562,0.043478260869565216,0.9565217391304348,1,22,23,0,0.5839783404641246
AbortionFunds,0,0.8136833796699261,0.18631662033007396,0.0,1.0,0,31,31,0,0.5613114631613871
abortionpil,0,0.8967430963039168,0.10325690369608316,0.047619047619047616,0.9523809523809524,1,20,21,0,0.6463770640930823
AbortionRights,0,0.8007348140547511,0.19926518594524886,0.0,1.0,0,6,6,0,0.30500831832825537
AbortionStories,0,0.7823843792814185,0.2176156207185816,0.0,1.0,0,18,18,0,0.6317271497566459
AbortionSupport,0,0.8474858455455204,0.15251415445447958,0.0,1.0,0,26,26,0,0.6908638217359966
AcpAbortion,0,0.847583442891008,0.15241655710899207,0.03333333333333333,0.9666666666666668,1,29,30,0,0.6354026963291219
alranztweets,0,0.7627916338452692,0.2372083661547309,0.0,1.0,0,7,7,0,0.4926494537504824
BaltimoreFund,0,0.8567594814509516,0.1432405185490484,0.043478260869565216,0.9565217391304348,1,22,23,0,0.7369990024090354
BronxAbortion,0,0.8516764219336443,0.14832357806635568,0.0,1.0,0,13,13,0,0.4574784697152143
ChiAbortionFund,0,0.8735775004119802,0.1264224995880198,0.0,1.0,0,17,17,0,0.645905465272888
DCAbortionFund,0,0.7655930494537588,0.2344069505462412,0.041666666666666664,0.9583333333333334,1,23,24,0,0.6236846258256568
Doctors4Choice,0,0.8563718469875532,0.14362815301244675,0.04,0.96,1,24,25,0,0.7170969225162541
Feminists4Life,1,0.36637182339741015,0.6336281766025899,1.0,0.0,5,0,5,0,-0.27342107601087384
freesafelegal,0,0.8502933466253065,0.14970665337469347,0.043478260869565216,0.9565217391304348,1,22,23,0,0.6890344238478893
LPJLeague,0,0.8463888162088884,0.15361118379111166,0.0,1.0,0,21,21,0,0.6278615002943989
MSFC,0,0.8722175007380416,0.1277824992619584,0.0,1.0,0,17,17,0,0.6101252622678504
NatAbortionFed,0,0.855798980777057,0.14420101922294307,0.0,1.0,0,26,26,0,0.557687023175202
NCAbortionFund,0,0.8596143896069648,0.14038561039303527,0.0,1.0,0,21,21,0,0.7003223542087347
NDWINFund,0,0.8517550426729174,0.14824495732708268,0.0,1.0,0,14,14,0,0.6512202833146286
needabortionire,0,0.7638870894962159,0.23611291050378416,0.0,1.0,0,8,8,0,0.6854557169471962
NJAAF,0,0.8851922976786741,0.11480770232132592,0.0,1.0,0,22,22,0,0.6931254918331626
nolaAbortionFnd,0,0.8760333608223472,0.12396663917765287,0.0,1.0,0,23,23,0,0.5847064520009979
NYAAF,0,0.8044664423645324,0.1955335576354676,0.0,1.0,0,21,21,0,0.6879134355449416
PretermMAML,0,0.8355690826988622,0.16443091730113776,0.04,0.96,1,24,25,0,0.5661390308853906
RallyforChoice,0,0.8299671362654886,0.1700328637345114,0.0,1.0,0,12,12,0,0.6062829257391728
RBraceySherman,0,0.7819954181578495,0.2180045818421506,0.0,1.0,0,23,23,0,0.5093557264430133
robinmarty,0,0.7274415346534597,0.2725584653465402,0.3666666666666665,0.6333333333333333,11,19,30,0,0.420313652053879
roisiningle,0,0.7955890226532885,0.20441097734671151,0.0,1.0,0,12,12,0,0.4978172468261446
Safe_Abortion,0,0.8915608623218907,0.10843913767810937,0.03448275862068965,0.9655172413793104,1,28,29,0,0.6783840353624057
SeaChangeProg,0,0.8403219164558883,0.15967808354411175,0.03448275862068965,0.9655172413793104,1,28,29,0,0.6149595976153086
ShoutYrAbortion,0,0.803034968049227,0.196965031950773,0.05882352941176471,0.9411764705882352,1,16,17,0,0.5464661890693198
SisterSupporter,0,0.8636076436815184,0.13639235631848154,0.0,1.0,0,7,7,0,0.7272440073178821
StephHerold,0,0.8181259566199703,0.1818740433800296,0.0,1.0,0,25,25,0,0.5200950891372668
TammiKromenaker,0,0.8234174334435752,0.1765825665564248,0.0,1.0,0,7,7,0,0.5548269783936307
Voice4ChoiceUK,0,0.8710834908828452,0.12891650911715485,0.0,1.0,0,8,8,0,0.6742920470325778
WholeWomans,0,0.8647057799242914,0.13529422007570865,0.03571428571428571,0.9642857142857144,1,27,28,0,0.6453676877763356
